employee_id,month,year,total_tasks_assigned,total_tasks_completed,avg_completion_percentage,on_time_completion_rate,total_hours_worked,expected_hours,avg_task_progress,productivity_score,performance_status
14,9,2025,16,8,51.2,48.81,110.7,176.0,49.24,51.8,Needs Improvement
31,6,2024,21,10,50.87,41.08,138.3,176.0,56.35,55.9,Needs Improvement
48,1,2024,8,4,45.83,55.55,128.4,176.0,44.68,52.5,Needs Improvement
15,12,2025,11,4,40.59,34.4,110.4,176.0,37.7,47.1,Needs Improvement
8,8,2024,13,3,26.6,31.5,87.4,176.0,27.0,29.2,Low Productivity
14,1,2024,23,14,63.29,50.1,151.1,176.0,59.35,60.8,Good
23,4,2024,27,9,38.51,29.93,110.7,176.0,38.39,40.7,Needs Improvement
40,6,2025,11,6,54.77,49.84,121.0,176.0,54.12,61.7,Good
21,6,2025,27,22,100.0,84.58,143.9,176.0,100.0,86.3,Excellent
16,3,2025,6,4,83.97,65.02,142.0,176.0,81.66,80.7,Excellent
45,3,2025,10,6,65.1,62.38,144.4,176.0,64.65,63.6,Good
18,8,2025,22,11,56.76,50.13,139.4,176.0,57.85,57.2,Needs Improvement
47,12,2025,10,5,51.67,57.17,109.5,176.0,53.04,55.2,Needs Improvement
24,6,2025,17,14,84.47,87.65,140.0,176.0,89.69,81.5,Excellent
26,12,2025,23,16,77.8,66.16,130.0,176.0,87.4,67.9,Good
25,10,2025,6,3,71.02,48.5,138.1,176.0,67.01,64.6,Good
45,10,2024,16,9,62.6,50.47,140.3,176.0,64.79,65.6,Good
41,4,2024,19,18,89.86,86.86,137.0,176.0,89.04,89.9,Excellent
29,5,2025,18,10,57.11,48.07,110.5,176.0,58.76,54.2,Needs Improvement
15,10,2024,10,4,48.27,40.74,112.1,176.0,53.82,42.8,Needs Improvement
45,6,2025,22,9,47.81,50.75,123.4,176.0,55.94,50.6,Needs Improvement
1,7,2025,9,8,96.0,83.22,140.6,176.0,100.0,87.3,Excellent
25,12,2024,22,13,58.7,48.12,124.6,176.0,60.28,61.1,Good
7,10,2024,7,5,79.29,72.08,130.6,176.0,84.42,74.8,Good
9,5,2025,7,3,53.75,49.91,133.1,176.0,49.54,58.5,Needs Improvement
24,10,2025,26,22,88.98,84.62,148.3,176.0,85.35,88.7,Excellent
1,8,2024,26,11,37.98,38.19,103.8,176.0,38.82,43.9,Needs Improvement
44,8,2024,14,10,68.57,71.28,120.9,176.0,74.39,70.7,Good
8,3,2025,23,13,67.55,60.22,120.9,176.0,66.08,62.9,Good
24,1,2024,7,3,58.62,46.71,119.0,176.0,57.66,50.5,Needs Improvement
11,7,2024,16,9,60.75,69.08,141.6,176.0,50.83,69.0,Good
17,1,2025,20,16,83.16,81.92,162.0,176.0,95.1,89.8,Excellent
8,4,2024,21,8,51.47,48.19,94.5,176.0,50.32,47.4,Needs Improvement
35,1,2024,11,4,43.39,45.28,129.3,176.0,29.69,47.5,Needs Improvement
35,6,2025,17,9,54.06,44.56,134.4,176.0,54.89,56.3,Needs Improvement
33,10,2025,28,19,66.46,54.79,128.4,176.0,68.82,64.9,Good
5,11,2024,6,4,67.42,77.1,146.2,176.0,66.27,73.5,Good
42,6,2024,8,3,40.36,41.48,107.1,176.0,35.81,46.8,Needs Improvement
39,4,2025,14,11,84.81,81.43,151.8,176.0,89.3,76.9,Excellent
41,4,2024,11,9,90.55,79.43,183.8,176.0,94.46,88.6,Excellent
28,9,2025,28,13,54.71,59.09,122.1,176.0,57.34,63.2,Good
7,6,2024,21,13,59.99,62.91,125.7,176.0,56.17,60.2,Good
9,6,2024,24,12,41.64,42.07,102.8,176.0,38.6,52.4,Needs Improvement
8,12,2025,10,7,76.1,72.29,140.8,176.0,74.35,76.5,Excellent
12,9,2024,23,8,43.35,45.75,124.4,176.0,41.27,44.3,Needs Improvement
34,9,2024,9,5,48.91,49.97,114.9,176.0,52.03,51.2,Needs Improvement
33,1,2024,14,9,66.24,55.62,142.6,176.0,64.27,68.0,Good
48,1,2024,13,8,66.28,70.34,127.6,176.0,61.53,69.0,Good
23,11,2024,17,8,43.66,40.04,112.3,176.0,45.78,43.7,Needs Improvement
24,5,2024,23,10,35.1,30.14,122.3,176.0,46.98,46.5,Needs Improvement
37,6,2025,25,16,61.95,58.11,104.1,176.0,58.02,60.3,Good
35,5,2025,28,18,63.83,68.46,130.5,176.0,60.29,69.5,Good
44,3,2025,10,4,35.35,47.88,130.6,176.0,34.74,51.7,Needs Improvement
40,3,2024,8,3,51.05,48.44,113.8,176.0,54.83,53.9,Needs Improvement
22,12,2024,28,18,73.4,57.0,132.6,176.0,76.23,64.0,Good
27,6,2025,7,5,76.76,83.39,139.3,176.0,76.17,84.9,Excellent
35,9,2024,7,5,78.68,80.5,168.7,176.0,76.5,78.5,Excellent
1,8,2024,8,3,42.14,53.0,125.4,176.0,52.64,56.0,Needs Improvement
35,8,2024,29,14,47.79,39.66,99.7,176.0,53.51,46.3,Needs Improvement
37,6,2025,9,4,42.9,40.59,103.7,176.0,51.58,46.7,Needs Improvement
47,11,2024,12,5,48.02,48.22,118.2,176.0,51.53,50.8,Needs Improvement
14,2,2024,20,8,31.4,49.26,134.8,176.0,30.94,51.0,Needs Improvement
3,4,2024,26,18,69.49,62.64,146.7,176.0,71.48,74.2,Good
1,2,2024,7,4,64.48,75.08,144.0,176.0,73.51,67.7,Good
5,10,2025,28,23,84.33,81.79,129.6,176.0,86.9,78.5,Excellent
26,7,2025,16,6,45.8,49.22,123.0,176.0,37.21,43.9,Needs Improvement
14,2,2024,29,17,57.15,49.96,117.0,176.0,64.16,58.8,Needs Improvement
39,2,2024,12,6,38.3,53.82,120.1,176.0,45.79,52.6,Needs Improvement
27,8,2025,17,5,35.05,19.19,116.4,176.0,41.24,35.7,Low Productivity
9,7,2025,8,6,81.77,78.95,133.9,176.0,75.06,78.3,Excellent
15,6,2025,18,15,95.95,91.57,128.9,176.0,97.89,89.8,Excellent
15,11,2025,18,11,62.37,65.9,124.1,176.0,67.5,63.2,Good
26,4,2024,17,14,84.64,76.42,147.9,176.0,84.72,82.8,Excellent
42,2,2025,10,2,41.11,14.68,113.8,176.0,43.02,35.0,Low Productivity
13,5,2024,21,12,49.79,61.38,113.9,176.0,52.59,56.0,Needs Improvement
32,11,2025,8,3,43.26,37.61,104.5,176.0,39.13,42.2,Needs Improvement
39,1,2025,12,11,97.93,88.4,156.7,176.0,100.0,94.4,Outstanding
49,4,2024,21,8,39.65,30.97,119.1,176.0,34.73,45.2,Needs Improvement
32,9,2025,7,3,50.9,49.9,123.5,176.0,50.38,56.6,Needs Improvement
4,1,2024,21,12,51.95,59.09,125.3,176.0,49.07,59.7,Needs Improvement
30,6,2024,13,3,32.34,33.2,88.9,176.0,36.72,26.9,Low Productivity
37,6,2025,6,3,64.21,42.49,140.4,176.0,67.55,55.0,Needs Improvement
23,6,2025,29,15,60.15,42.92,141.2,176.0,62.99,56.8,Needs Improvement
39,6,2024,17,12,74.43,77.97,130.9,176.0,75.84,70.8,Good
45,2,2025,24,18,77.28,61.03,136.0,176.0,79.46,77.2,Excellent
15,1,2025,6,3,51.88,45.89,131.8,176.0,61.92,52.6,Needs Improvement
43,7,2024,24,11,54.35,64.61,119.2,176.0,60.97,55.8,Needs Improvement
29,8,2024,15,4,25.82,24.66,110.4,176.0,21.01,38.6,Low Productivity
36,4,2024,26,20,85.68,83.62,146.7,176.0,83.01,85.2,Excellent
13,6,2024,19,12,64.39,51.43,137.8,176.0,63.34,65.2,Good
32,11,2025,15,8,50.53,60.18,117.7,176.0,49.32,58.4,Needs Improvement
7,4,2025,27,13,41.18,48.3,91.3,176.0,37.04,46.5,Needs Improvement
22,4,2024,7,3,51.74,50.94,122.0,176.0,54.67,56.3,Needs Improvement
28,8,2025,7,3,59.63,60.0,135.0,176.0,59.33,62.4,Good
2,11,2025,16,7,41.83,43.22,122.4,176.0,42.91,49.3,Needs Improvement
42,5,2025,28,21,84.9,81.17,130.8,176.0,76.36,81.2,Excellent
45,11,2025,9,7,72.7,70.4,135.0,176.0,64.84,77.3,Excellent
6,11,2025,24,21,91.59,88.24,187.3,176.0,88.89,89.6,Excellent
28,11,2025,11,7,69.97,70.11,138.2,176.0,73.01,73.1,Good
28,6,2024,11,6,66.97,57.05,94.1,176.0,69.36,59.6,Needs Improvement
44,11,2025,17,12,61.65,63.57,128.6,176.0,66.69,68.1,Good
44,2,2025,13,10,82.31,73.08,138.3,176.0,78.8,73.4,Good
20,5,2024,29,13,45.3,54.51,98.2,176.0,48.73,46.1,Needs Improvement
30,1,2025,25,13,51.93,60.89,121.0,176.0,59.58,53.8,Needs Improvement
11,5,2025,17,10,63.8,65.53,120.3,176.0,68.44,70.9,Good
28,10,2025,16,10,68.15,75.41,133.6,176.0,61.69,76.6,Excellent
25,2,2024,17,11,60.22,70.21,131.9,176.0,65.75,64.0,Good
39,2,2024,28,22,74.18,82.04,134.0,176.0,75.81,74.2,Good
33,6,2025,14,5,48.78,26.84,109.1,176.0,51.05,42.3,Needs Improvement
1,9,2025,5,2,45.19,35.54,127.0,176.0,57.67,50.7,Needs Improvement
27,1,2024,29,20,73.25,76.43,138.8,176.0,74.48,76.7,Excellent
13,6,2025,12,10,86.19,98.06,149.7,176.0,89.34,97.2,Outstanding
41,12,2025,26,16,64.62,52.08,135.2,176.0,65.09,62.2,Good
3,7,2025,20,6,40.72,33.88,107.7,176.0,39.51,38.9,Low Productivity
39,1,2025,17,13,89.77,95.45,125.9,176.0,91.59,83.7,Excellent
6,4,2025,7,2,37.9,38.97,122.0,176.0,35.72,44.6,Needs Improvement
8,10,2025,7,2,34.77,41.94,94.9,176.0,35.5,38.8,Low Productivity
27,8,2024,28,7,34.46,27.96,95.0,176.0,32.95,33.8,Low Productivity
9,9,2025,9,4,42.13,53.86,96.8,176.0,31.74,56.5,Needs Improvement
37,11,2024,15,4,41.74,25.47,118.5,176.0,39.28,40.0,Needs Improvement
33,4,2025,11,5,50.64,36.77,121.6,176.0,55.42,47.3,Needs Improvement
42,6,2024,25,17,69.61,75.01,139.7,176.0,72.21,71.9,Good
44,11,2024,28,18,62.3,67.46,144.2,176.0,61.12,70.6,Good
24,8,2024,14,9,67.8,70.11,148.0,176.0,68.3,74.1,Good
15,12,2025,14,8,60.47,53.58,120.8,176.0,56.44,63.3,Good
32,5,2025,24,12,47.4,49.31,121.9,176.0,43.91,48.8,Needs Improvement
32,3,2025,6,5,93.11,85.93,151.4,176.0,93.14,84.4,Excellent
24,2,2024,7,5,77.74,68.03,135.0,176.0,76.66,72.8,Good
41,8,2024,12,9,70.69,77.76,128.7,176.0,66.92,76.1,Excellent
49,2,2024,15,6,37.43,46.55,134.1,176.0,37.09,46.2,Needs Improvement
49,10,2025,17,7,45.98,46.99,131.0,176.0,40.42,56.0,Needs Improvement
12,9,2025,11,8,70.96,78.09,147.9,176.0,78.84,78.9,Excellent
39,7,2024,17,9,57.45,57.14,145.3,176.0,61.93,60.4,Good
2,5,2025,6,4,71.11,71.06,145.1,176.0,60.25,82.2,Excellent
3,6,2024,10,6,53.12,54.66,124.5,176.0,57.31,58.5,Needs Improvement
49,9,2025,13,5,45.48,43.5,108.2,176.0,43.62,46.2,Needs Improvement
37,8,2024,24,17,68.3,77.09,142.7,176.0,65.57,72.8,Good
49,2,2025,29,11,44.67,38.63,91.0,176.0,48.44,42.9,Needs Improvement
17,7,2024,6,1,20.06,13.68,109.8,176.0,19.35,24.1,Low Productivity
49,3,2024,22,19,85.03,79.03,126.4,176.0,83.1,84.4,Excellent
2,5,2024,20,13,65.41,57.94,149.0,176.0,58.76,70.1,Good
2,4,2025,29,14,55.9,40.54,127.2,176.0,60.47,55.2,Needs Improvement
28,8,2024,16,13,91.16,100.0,174.8,176.0,96.34,90.4,Outstanding
23,5,2025,11,6,61.22,51.23,129.3,176.0,62.03,58.8,Needs Improvement
37,8,2025,11,5,47.14,49.78,129.9,176.0,41.31,56.0,Needs Improvement
32,4,2024,21,18,90.39,89.53,162.6,176.0,91.9,91.2,Outstanding
33,1,2025,17,15,93.09,100.0,141.6,176.0,96.3,90.1,Outstanding
1,9,2025,15,9,65.19,69.38,116.7,176.0,65.06,60.7,Good
19,10,2025,10,9,97.88,100.0,145.3,176.0,100.0,94.6,Outstanding
2,8,2025,27,16,56.57,62.79,128.6,176.0,57.41,64.7,Good
44,3,2025,18,17,99.58,96.9,155.6,176.0,100.0,96.5,Outstanding
26,11,2024,10,9,98.47,96.75,155.8,176.0,100.0,90.0,Outstanding
32,5,2024,10,5,53.07,47.94,129.8,176.0,50.61,58.4,Needs Improvement
6,6,2025,6,3,57.29,43.65,109.7,176.0,49.45,58.2,Needs Improvement
32,10,2024,26,22,88.44,85.95,161.0,176.0,87.59,86.3,Excellent
4,8,2024,24,22,87.6,88.89,161.0,176.0,84.78,90.0,Outstanding
11,6,2025,29,10,35.35,38.6,133.4,176.0,28.25,43.3,Needs Improvement
17,7,2025,19,15,91.0,74.97,153.3,176.0,94.11,82.6,Excellent
38,3,2024,21,15,72.66,62.68,138.5,176.0,72.67,75.6,Excellent
24,5,2025,12,10,83.36,76.59,181.7,176.0,74.25,84.5,Excellent
5,7,2024,9,6,73.05,68.85,134.3,176.0,80.78,72.1,Good
34,12,2024,21,12,56.72,45.2,130.8,176.0,53.08,57.0,Needs Improvement
6,3,2025,24,11,49.79,62.58,124.1,176.0,46.71,56.7,Needs Improvement
22,1,2024,5,3,69.45,85.25,149.7,176.0,74.16,75.7,Excellent
11,1,2024,26,19,70.11,81.18,140.6,176.0,72.25,78.7,Excellent
48,1,2025,22,6,25.36,25.87,144.6,176.0,30.82,41.2,Needs Improvement
16,5,2025,19,13,62.12,66.68,127.8,176.0,51.22,69.4,Good
33,10,2024,9,6,67.16,75.06,160.5,176.0,65.73,75.2,Excellent
9,12,2024,11,4,46.35,47.98,92.6,176.0,47.02,49.3,Needs Improvement
6,9,2024,22,19,96.91,93.25,137.9,176.0,100.0,87.9,Excellent
16,4,2025,10,6,60.87,53.43,107.8,176.0,56.64,61.4,Good
29,11,2025,26,17,61.37,66.73,120.7,176.0,59.67,65.0,Good
3,3,2025,25,19,84.3,82.88,118.3,176.0,85.0,79.2,Excellent
20,12,2024,9,4,59.26,34.54,124.4,176.0,63.07,50.4,Needs Improvement
36,3,2024,23,20,93.08,80.63,138.2,176.0,87.54,89.3,Excellent
19,2,2025,14,11,73.49,84.95,167.3,176.0,77.55,79.4,Excellent
26,5,2025,19,12,70.36,65.29,141.8,176.0,67.41,69.8,Good
3,2,2024,14,4,38.42,33.17,109.5,176.0,40.3,36.5,Low Productivity
19,11,2025,20,14,79.36,83.73,143.9,176.0,78.4,82.8,Excellent
20,7,2025,16,6,41.63,40.45,122.4,176.0,43.01,51.3,Needs Improvement
32,4,2024,22,19,82.75,82.72,167.1,176.0,83.81,82.9,Excellent
7,8,2024,27,23,85.02,84.57,142.2,176.0,91.4,85.7,Excellent
41,3,2025,5,2,57.39,49.3,111.0,176.0,56.21,53.6,Needs Improvement
33,11,2025,20,8,43.89,35.32,119.8,176.0,42.38,47.5,Needs Improvement
40,7,2025,26,19,68.29,73.05,163.4,176.0,73.63,81.4,Excellent
39,7,2025,10,2,35.12,17.47,80.8,176.0,42.12,31.0,Low Productivity
18,6,2024,7,5,85.0,76.56,149.4,176.0,83.02,78.5,Excellent
40,5,2025,6,3,69.29,56.85,148.1,176.0,72.75,64.2,Good
1,11,2025,6,2,46.9,43.08,122.2,176.0,42.63,47.4,Needs Improvement
11,8,2024,17,11,61.74,78.5,138.1,176.0,65.23,68.7,Good
28,1,2024,13,8,69.22,69.64,142.2,176.0,73.82,73.3,Good
25,8,2025,20,12,63.45,61.26,155.4,176.0,62.07,69.4,Good
50,12,2024,9,5,51.96,60.55,138.9,176.0,57.51,65.6,Good
23,4,2025,27,16,56.88,55.83,106.9,176.0,55.56,58.2,Needs Improvement
31,9,2024,25,11,50.35,52.25,116.0,176.0,50.47,56.1,Needs Improvement
30,7,2025,11,5,51.54,50.68,119.3,176.0,53.49,58.2,Needs Improvement
42,11,2025,17,10,72.24,60.04,143.7,176.0,67.44,62.9,Good
35,2,2025,24,14,59.19,63.34,129.6,176.0,52.4,62.1,Good
7,1,2024,28,16,49.62,60.66,126.7,176.0,51.02,59.5,Needs Improvement
16,7,2025,17,15,92.75,96.14,155.4,176.0,89.04,95.4,Outstanding
26,5,2024,11,8,77.82,81.55,142.5,176.0,71.71,81.9,Excellent
48,10,2024,14,9,67.15,62.91,133.8,176.0,71.0,63.3,Good
49,7,2025,19,10,56.31,66.29,118.4,176.0,63.89,58.8,Needs Improvement
2,3,2025,25,18,70.9,61.29,137.1,176.0,75.19,74.5,Good
1,1,2025,10,7,78.37,77.7,142.5,176.0,72.45,74.1,Good
48,10,2024,9,5,64.02,61.64,137.5,176.0,64.91,67.3,Good
12,7,2025,27,14,50.72,47.12,164.9,176.0,49.17,61.6,Good
5,8,2025,6,2,30.99,41.83,86.9,176.0,26.73,40.6,Needs Improvement
37,3,2025,25,18,70.95,59.84,148.3,176.0,71.38,74.4,Good
32,7,2024,19,14,64.63,86.93,161.3,176.0,64.29,77.6,Excellent
9,8,2025,20,9,41.72,63.59,104.8,176.0,40.56,51.3,Needs Improvement
41,12,2025,23,9,32.64,40.19,123.5,176.0,37.58,44.1,Needs Improvement
35,10,2024,13,4,36.61,23.72,100.1,176.0,43.11,36.5,Low Productivity
19,8,2024,26,16,66.84,57.15,121.7,176.0,65.22,56.7,Needs Improvement
48,1,2024,23,17,74.23,83.52,129.6,176.0,73.33,78.4,Excellent
16,6,2025,11,3,30.7,27.1,102.4,176.0,29.46,40.1,Needs Improvement
3,4,2024,8,4,58.58,29.74,120.7,176.0,61.15,52.1,Needs Improvement
20,6,2025,7,4,63.14,62.29,138.7,176.0,64.8,64.3,Good
24,3,2025,28,14,62.76,59.89,100.5,176.0,59.22,57.6,Needs Improvement
33,5,2025,24,18,78.42,81.23,154.4,176.0,77.77,82.1,Excellent
24,8,2024,15,4,37.23,35.36,116.4,176.0,29.75,43.4,Needs Improvement
11,9,2025,5,3,66.17,78.53,137.2,176.0,58.31,71.2,Good
49,6,2024,10,3,34.47,33.38,142.4,176.0,28.57,43.2,Needs Improvement
8,12,2025,15,10,76.25,86.61,156.8,176.0,74.99,76.1,Excellent
36,11,2024,5,2,52.8,48.81,112.5,176.0,55.86,53.2,Needs Improvement
38,11,2024,25,7,28.28,40.33,87.2,176.0,24.37,33.0,Low Productivity
40,2,2024,11,3,31.77,34.75,98.4,176.0,31.14,37.1,Low Productivity
20,6,2025,10,8,81.05,96.98,135.8,176.0,82.15,86.8,Excellent
35,10,2025,18,8,36.38,51.02,89.2,176.0,44.06,49.3,Needs Improvement
48,5,2025,6,4,69.9,70.66,144.6,176.0,70.18,74.5,Good
25,8,2025,8,2,21.87,17.19,81.7,176.0,22.38,31.0,Low Productivity
35,11,2025,15,7,44.69,49.22,121.6,176.0,41.67,46.8,Needs Improvement
25,9,2024,19,11,56.81,54.15,142.6,176.0,65.99,67.2,Good
29,8,2025,22,10,51.04,50.73,138.8,176.0,54.86,52.6,Needs Improvement
18,9,2024,5,3,65.72,68.76,127.0,176.0,60.16,67.9,Good
46,7,2025,7,6,88.48,96.53,139.8,176.0,95.97,86.6,Excellent
18,11,2025,7,2,36.82,43.04,131.0,176.0,40.4,47.5,Needs Improvement
2,11,2025,11,6,62.28,57.75,148.3,176.0,63.45,63.8,Good
35,3,2024,5,1,39.86,45.95,118.5,176.0,43.16,48.7,Needs Improvement
16,3,2025,29,9,33.65,45.73,97.0,176.0,39.33,48.5,Needs Improvement
41,11,2024,15,4,40.09,24.89,86.9,176.0,36.32,38.4,Low Productivity
36,5,2024,10,3,38.09,53.14,128.0,176.0,36.15,48.8,Needs Improvement
33,12,2024,24,12,52.13,60.94,120.0,176.0,51.94,61.8,Good
4,8,2025,7,5,71.22,67.26,157.9,176.0,65.02,69.8,Good
33,9,2024,23,14,59.78,46.71,119.4,176.0,63.42,57.1,Needs Improvement
14,1,2024,6,2,37.82,50.59,129.4,176.0,36.44,48.6,Needs Improvement
21,11,2024,22,5,26.86,25.07,119.8,176.0,24.93,32.6,Low Productivity
48,6,2024,16,13,87.26,81.74,144.7,176.0,84.05,82.0,Excellent
20,1,2025,14,9,61.82,69.59,138.3,176.0,61.65,71.0,Good
8,9,2024,9,7,84.59,91.25,128.0,176.0,85.37,82.9,Excellent
7,9,2025,13,7,64.17,38.95,107.1,176.0,69.15,53.7,Needs Improvement
3,7,2025,6,4,71.47,75.78,144.6,176.0,76.59,80.1,Excellent
17,5,2024,6,1,29.19,33.24,98.1,176.0,23.52,35.4,Low Productivity
33,12,2024,10,3,38.98,50.91,114.8,176.0,41.28,50.3,Needs Improvement
48,9,2024,14,10,81.41,81.15,142.1,176.0,87.56,78.0,Excellent
12,9,2025,22,19,87.18,95.92,161.3,176.0,86.06,90.3,Outstanding
22,9,2024,16,12,86.9,74.14,150.1,176.0,86.05,77.9,Excellent
22,3,2025,8,3,43.02,53.66,132.5,176.0,41.04,49.6,Needs Improvement
46,9,2024,26,16,65.78,60.96,135.3,176.0,68.47,64.5,Good
30,6,2025,25,11,37.33,44.97,121.3,176.0,38.77,43.2,Needs Improvement
38,5,2024,21,19,86.32,95.59,152.8,176.0,91.22,91.1,Outstanding
38,12,2024,19,18,93.79,95.54,171.6,176.0,93.23,94.4,Outstanding
